ACT composite score,SAT total score,parental level of education, parental income ,high school gpa,college gpa,years to graduate
27,1951,associate's degree," $51,677 ",3.8,3.2,4
28,2042,some college," $79,886 ",3.9,3.3,4
28,1898,high school," $54,004 ",3.5,3.3,4
32,2109,some college," $67,094 ",4,3.4,4
29,2031,master's degree," $106,538 ",3.7,3.3,6
27,1935,some college," $62,701 ",3.7,3.4,4
24,1849,some high school," $57,021 ",3.3,3.2,5
24,1828,associate's degree," $70,581 ",3.3,3.1,6
32,2121,some college," $50,679 ",4,3.1,5
28,1956,associate's degree," $63,320 ",3.6,3,5
29,2068,master's degree," $69,164 ",4,3.6,4
25,1801,some college," $57,119 ",3.3,3.5,5
24,1760,some college," $78,288 ",3.2,3.4,3
32,2275,master's degree," $104,758 ",4,4,3
30,2129,bachelor's degree," $100,085 ",4,3.4,4
27,1855,associate's degree," $99,168 ",3.3,3.1,5
26,1966,some college," $89,016 ",3.6,3.4,7
28,2080,bachelor's degree," $70,882 ",3.9,3.3,4
31,2123,some college," $79,271 ",4,3.8,5
31,2229,bachelor's degree," $78,379 ",4,3.5,6
22,1717,high school," $30,058 ",3,2.9,9
26,1868,some high school," $61,856 ",3.6,3.2,4
32,2208,bachelor's degree," $98,261 ",4,3.9,3
31,2054,some college," $80,375 ",3.9,3.2,5
27,1807,some high school," $59,362 ",3.2,3.1,4
27,1991,some college," $68,616 ",3.7,3.7,3
29,1874,some high school," $32,290 ",3.7,3.2,6
33,2194,associate's degree," $75,808 ",4,3.2,5
29,1947,some college," $81,062 ",3.7,3.3,8
23,1641,some high school," $46,539 ",2.9,3.1,5
25,1835,some high school," $71,287 ",3.5,3.1,9
24,1878,high school," $32,558 ",3.2,3.1,7
31,2096,associate's degree," $85,614 ",4,3.6,5
26,1905,some college," $77,822 ",3.6,3.4,6
29,2049,some college," $54,889 ",3.8,3.5,5
28,2085,associate's degree," $56,238 ",3.9,3.3,5
30,2069,associate's degree," $57,088 ",3.9,3.5,6
29,1974,some high school," $45,734 ",3.7,3.1,6
27,1697,high school," $61,105 ",3.2,3.4,4
30,2003,high school," $37,407 ",3.9,3.2,5
32,2154,bachelor's degree," $97,216 ",4,3.5,4
31,2303,bachelor's degree," $71,074 ",4,3.7,3
29,2018,high school," $65,630 ",3.8,3.3,7
28,1942,high school," $73,605 ",3.5,3.4,4
35,2294,bachelor's degree," $82,854 ",4,3.5,5
28,1981,some college," $55,058 ",3.8,3.5,3
26,1823,some high school," $50,215 ",3.2,3.1,4
34,2309,associate's degree," $82,318 ",4,3.7,5
29,1878,some college," $59,498 ",3.6,3.5,3
31,2003,high school," $57,031 ",3.9,3.2,5
25,1839,high school," $40,535 ",3.3,3.3,5
27,1965,some high school," $64,972 ",3.6,3.3,5
31,2111,some high school," $42,677 ",4,3.4,6
29,1960,high school," $41,021 ",3.7,3.5,5
26,1775,some college," $57,070 ",3.4,3.4,3
26,2027,associate's degree," $75,587 ",3.8,3.5,4
29,2213,master's degree," $62,673 ",4,3.3,4
28,1920,associate's degree," $91,846 ",3.6,3,5
29,2069,some college," $98,439 ",3.8,3.8,3
30,2014,high school," $67,978 ",3.8,3.6,6
25,1776,high school," $69,155 ",3.1,2.8,5
24,1822,associate's degree," $51,659 ",3.5,3,9
29,2014,master's degree," $64,132 ",3.9,3.3,4
29,2000,some college," $81,137 ",3.7,3.4,4
28,1957,some high school," $56,604 ",3.6,3.3,6
29,2142,master's degree," $54,409 ",3.9,3.6,3
27,2024,bachelor's degree," $82,740 ",3.7,3.3,4
34,2330,bachelor's degree," $80,162 ",4,3.6,6
28,1964,some college," $66,886 ",3.8,3.4,4
29,1973,associate's degree," $63,686 ",3.7,3.5,4
31,2145,master's degree," $76,637 ",4,3.2,6
28,2047,bachelor's degree," $111,565 ",3.9,3.7,6
32,2138,high school," $51,710 ",4,3.4,4
29,1984,some high school," $70,655 ",3.8,3.5,4
34,2330,some college," $69,850 ",4,3.6,6
31,2062,associate's degree," $60,588 ",4,3.3,4
28,2026,master's degree," $80,678 ",3.9,3.3,7
29,2081,bachelor's degree," $69,070 ",4,3.3,4
24,1794,some college," $63,960 ",3.4,3.5,3
30,2108,master's degree," $101,757 ",4,3.4,5
27,1856,high school," $58,081 ",3.4,3.3,6
27,1802,some high school," $52,986 ",3.4,3.5,7
28,2014,bachelor's degree," $70,446 ",3.8,3.2,5
28,2079,master's degree," $96,811 ",4,3.3,7
30,1997,some high school," $65,028 ",3.8,3.5,6
23,1710,some college," $74,896 ",3.1,3.4,6
31,2067,associate's degree," $85,063 ",4,3.8,3
32,2050,some high school," $30,030 ",3.9,3.1,6
30,2099,associate's degree," $70,238 ",4,3.6,7
25,1746,high school," $62,617 ",3.2,3.4,4
28,1961,associate's degree," $92,044 ",3.7,3.2,7
31,2086,some college," $79,089 ",3.9,3.7,5
34,2327,master's degree," $85,855 ",4,3.5,4
32,2083,associate's degree," $53,867 ",4,3.2,6
33,2354,associate's degree," $67,698 ",4,3.7,4
31,2007,some college," $76,363 ",4,3.4,7
32,2098,some high school," $58,011 ",3.9,3.3,4
28,2067,associate's degree," $90,774 ",3.8,3.7,3
22,1662,some high school," $51,744 ",2.9,2.7,5
23,1664,high school," $79,157 ",2.9,3.6,3
28,2038,associate's degree," $71,289 ",3.7,3.7,5
31,2111,some high school," $63,644 ",4,3.3,4
31,2000,high school," $40,613 ",3.9,3.2,6
32,2183,some college," $64,874 ",4,3.4,6
30,2077,high school," $46,431 ",3.9,3.1,6
29,2060,high school," $63,017 ",3.9,3.6,5
28,2064,bachelor's degree," $85,687 ",3.9,3.8,5
30,1988,bachelor's degree," $100,312 ",3.9,3.5,4
27,1878,some college," $53,253 ",3.6,3.1,8
28,1843,some high school," $50,083 ",3.5,3.1,6
28,1901,high school," $68,974 ",3.4,3.4,8
26,1940,some college," $80,435 ",3.5,3,8
29,2011,associate's degree," $61,318 ",3.8,3,7
28,1928,some high school," $65,130 ",3.5,3.6,3
33,2207,some college," $63,092 ",4,3.4,4
23,1724,some high school," $54,818 ",3,3.3,3
29,1970,some high school," $76,065 ",3.7,3.3,5
28,1924,some high school," $25,052 ",3.5,3.4,6
33,2301,master's degree," $85,959 ",4,3.4,6
30,2177,some college," $59,979 ",4,3.3,4
33,2191,some college," $67,834 ",4,3.6,4
26,1775,some college," $74,739 ",3.4,3.1,8
28,2082,some college," $75,206 ",3.9,3.1,5
26,1891,associate's degree," $84,455 ",3.3,3.3,5
26,1873,high school," $63,728 ",3.4,3.5,3
31,2068,associate's degree," $70,007 ",4,3.2,6
28,1979,high school," $50,078 ",3.6,3.6,3
28,1888,some college," $80,294 ",3.7,3.4,4
29,2163,bachelor's degree," $111,580 ",4,3.6,7
30,1981,high school," $52,113 ",3.7,3.4,5
31,2066,master's degree," $86,211 ",3.9,3.5,4
27,1876,high school," $69,239 ",3.4,3.6,5
25,1786,high school," $51,917 ",3.3,3.1,4
29,2071,some college," $87,462 ",3.9,3.5,5
28,2043,some high school," $75,790 ",3.7,3.5,4
29,1966,associate's degree," $79,421 ",3.7,3.6,4
26,1745,high school," $58,652 ",3.2,3.3,4
33,2157,some college," $46,162 ",4,3.3,5
31,2180,master's degree," $93,940 ",4,3.5,5
28,1912,high school," $64,039 ",3.6,3.4,6
31,2049,associate's degree," $80,808 ",3.9,3.8,4
25,1880,some college," $34,272 ",3.5,3.3,7
26,1777,high school," $62,391 ",3.2,3.2,5
31,2051,bachelor's degree," $81,731 ",4,3.6,4
33,2153,associate's degree," $74,855 ",4,3.5,5
24,1772,some high school," $45,746 ",3.3,3,5
27,1982,some college," $57,364 ",3.6,3.2,4
31,2191,master's degree," $96,879 ",4,3.7,4
26,1884,some high school," $46,347 ",3.5,3.3,6
28,1965,high school," $70,179 ",3.5,3,8
26,1922,high school," $52,687 ",3.5,3.3,4
26,1851,some college," $56,543 ",3.4,3.5,3
28,1759,high school," $84,265 ",3.3,3.3,4
32,2148,bachelor's degree," $112,865 ",4,3.8,4
28,1895,some high school," $32,357 ",3.7,3.2,5
26,1955,some college," $82,047 ",3.7,3.6,3
27,1976,some high school," $66,320 ",3.8,3.7,3
22,1738,some college," $89,734 ",3.1,3.1,5
32,2188,some college," $88,846 ",4,3.7,5
28,1993,master's degree," $83,385 ",3.6,3.4,7
30,2079,master's degree," $91,867 ",4,3.8,3
28,2028,some college," $46,390 ",3.8,3.4,6
30,2001,some college," $87,667 ",3.8,3.5,5
27,1881,high school," $50,248 ",3.4,3.1,4
27,1897,some college," $70,152 ",3.6,3.6,3
31,2133,some college," $72,536 ",4,3.2,5
27,1859,some college," $83,756 ",3.4,2.9,5
31,2031,associate's degree," $54,082 ",4,3.7,6
30,2101,bachelor's degree," $71,340 ",4,3.1,8
26,1921,high school," $89,368 ",3.4,3.4,4
30,2167,bachelor's degree," $72,606 ",4,3.8,6
29,1906,some high school," $59,743 ",3.7,3.3,8
31,2106,master's degree," $76,544 ",4,3.2,5
27,1894,some college," $65,880 ",3.6,3.3,4
31,2158,some high school," $22,191 ",4,3.4,6
28,1941,some college," $73,652 ",3.6,3.4,5
33,2078,some college," $59,329 ",4,3.3,4
31,2105,some high school," $41,372 ",4,3.3,6
28,1925,some high school," $55,335 ",3.6,3.5,3
26,1892,high school," $68,167 ",3.4,3.2,7
24,1799,some high school," $50,326 ",3.2,3.2,4
31,2214,some college," $75,645 ",4,3.8,3
27,2024,some college," $61,769 ",3.8,3.3,5
26,1954,high school," $43,384 ",3.5,3.3,5
28,1928,associate's degree," $94,921 ",3.6,3.6,6
27,1918,high school," $64,682 ",3.5,3.6,3
25,1772,high school," $49,063 ",3.1,3,5
27,1961,some high school," $32,992 ",3.6,3.3,5
30,2105,master's degree," $96,412 ",3.9,3.6,4
27,1823,high school," $60,404 ",3.3,3.4,8
34,2211,some college," $72,022 ",4,3.5,4
30,2079,high school," $46,946 ",3.8,3.4,5
22,1715,some high school," $83,495 ",3,3.1,4
27,1933,high school," $52,021 ",3.5,3.3,5
30,2106,some high school," $51,653 ",3.9,3.6,3
29,2091,some college," $51,426 ",3.9,3.7,4
27,1894,bachelor's degree," $88,103 ",3.5,3,6
27,1909,some high school," $49,781 ",3.6,3.2,5
26,1898,associate's degree," $63,890 ",3.4,3.3,4
25,1707,some high school," $72,767 ",3.2,3.4,6
28,2062,associate's degree," $87,492 ",4,3.8,3
30,2015,high school," $70,737 ",3.9,3.8,4
29,2021,high school," $60,404 ",3.9,3.6,4
23,1749,high school," $55,410 ",2.9,3,4
21,1640,some high school," $54,847 ",2.8,3.4,3
31,2000,some high school," $49,405 ",3.8,3.3,5
27,1903,high school," $53,437 ",3.6,3.4,4
25,1882,some college," $71,828 ",3.3,3.2,8
30,2105,bachelor's degree," $84,698 ",4,3.8,3
31,1989,some college," $68,788 ",3.8,3.4,4
29,1937,some high school," $75,042 ",3.6,3.2,5
32,2139,bachelor's degree," $103,774 ",4,4,3
25,1747,some college," $74,725 ",3.2,3.2,5
34,2172,master's degree," $115,112 ",4,3.9,4
27,1926,high school," $68,447 ",3.5,3.3,5
26,1941,some high school," $35,481 ",3.6,3.1,5
25,1850,some college," $54,880 ",3.4,3.1,4
28,1924,some college," $76,989 ",3.7,3.3,4
30,2101,bachelor's degree," $71,120 ",4,3.3,5
25,1763,some high school," $56,887 ",3.2,3.3,4
32,2156,associate's degree," $104,360 ",4,4,3
32,2279,bachelor's degree," $65,650 ",4,3.3,5
29,1993,high school," $61,607 ",3.7,3.4,4
29,2073,bachelor's degree," $86,205 ",4,3.5,5
26,1833,high school," $61,853 ",3.4,3.4,6
23,1811,high school," $53,721 ",3.1,3.3,3
26,1951,high school," $52,750 ",3.6,3.1,5
31,2174,bachelor's degree," $67,851 ",4,3.4,4
25,1856,associate's degree," $84,679 ",3.3,3.3,5
28,2004,high school," $31,889 ",3.6,3.3,5
28,2109,master's degree," $94,346 ",3.8,3.4,4
31,1985,some high school," $72,416 ",3.9,3.4,4
31,2114,bachelor's degree," $70,412 ",4,3.2,5
28,1958,some high school," $49,516 ",3.7,3.3,6
29,2042,bachelor's degree," $113,597 ",4,3.8,3
29,2001,bachelor's degree," $65,737 ",3.7,3.5,4
29,2031,some college," $81,633 ",4,3.4,7
27,1857,associate's degree," $58,164 ",3.4,3.3,6
29,1965,some college," $72,052 ",3.5,3.2,4
32,2049,high school," $79,015 ",4,3.9,3
30,2038,master's degree," $68,861 ",3.9,3.3,6
24,1840,some college," $69,606 ",3.2,3.1,5
26,1779,some college," $66,114 ",3.4,3.1,5
28,1954,some high school," $22,892 ",3.7,3.3,6
30,2024,high school," $41,464 ",3.9,3.2,6
25,1812,some high school," $46,645 ",3.3,3.3,4
24,1788,some college," $68,691 ",3.2,3,6
29,1988,some college," $88,421 ",3.8,3.2,6
27,2076,bachelor's degree," $70,671 ",4,3,5
27,1863,associate's degree," $70,826 ",3.5,3.4,4
30,2189,bachelor's degree," $102,665 ",4,3.9,3
35,2278,associate's degree," $93,446 ",4,3.8,5
29,2009,bachelor's degree," $111,894 ",3.7,3.4,4
30,2063,high school," $46,029 ",3.9,3.4,6
26,1958,some college," $54,810 ",3.6,3.3,6
35,2296,master's degree," $83,525 ",4,3.8,4
27,1991,master's degree," $89,224 ",3.7,3.6,3
31,2087,associate's degree," $71,209 ",4,3.8,7
29,1997,associate's degree," $51,380 ",3.7,3.4,3
29,2074,high school," $39,310 ",3.8,3.1,6
26,1835,high school," $67,736 ",3.3,3.5,3
28,1999,bachelor's degree," $107,502 ",3.9,3.8,3
28,1893,high school," $30,293 ",3.4,3.2,7
30,2171,bachelor's degree," $77,054 ",4,3.5,8
31,2115,bachelor's degree," $100,889 ",4,3.7,4
25,1816,bachelor's degree," $92,063 ",3.4,3,5
29,2048,some college," $70,458 ",3.8,3.4,4
32,2047,associate's degree," $90,475 ",4,3.7,4
30,1967,some high school," $24,122 ",3.7,3.3,8
30,1970,high school," $48,860 ",3.8,3.5,4
29,2010,associate's degree," $72,982 ",3.7,3.6,3
30,1943,high school," $56,933 ",3.6,3.5,3
34,2296,master's degree," $61,254 ",4,3.7,4
29,1966,high school," $66,154 ",3.5,3.4,4
27,2014,associate's degree," $53,131 ",3.7,3.5,3
25,1729,some high school," $22,697 ",3.1,3,5
28,1833,bachelor's degree," $111,333 ",3.5,3.3,7
27,1986,some college," $49,942 ",3.6,3.6,4
25,1819,some high school," $28,525 ",3.2,3,5
25,1778,some college," $81,119 ",3.3,3.2,4
29,1917,high school," $46,412 ",3.7,3.5,4
33,2266,some college," $95,279 ",4,3.6,5
29,2023,associate's degree," $88,770 ",3.8,3.7,3
24,1781,some college," $72,460 ",3.3,3.1,7
28,1932,high school," $32,585 ",3.6,3.1,7
29,2003,some high school," $66,611 ",3.8,3.4,6
31,2125,bachelor's degree," $92,900 ",4,3.2,5
27,1899,some high school," $73,054 ",3.5,3.4,4
28,1945,bachelor's degree," $91,741 ",3.8,3.5,4
28,1883,some high school," $56,567 ",3.5,3.5,3
28,1927,associate's degree," $82,803 ",3.5,3.6,3
29,1964,high school," $76,164 ",3.6,3.3,4
28,1979,associate's degree," $82,767 ",3.8,3.6,4
28,1995,some high school," $45,634 ",3.7,3.2,5
27,1949,some high school," $30,833 ",3.6,3.4,4
26,1763,high school," $38,095 ",3.3,3.3,8
28,2024,some high school," $71,050 ",3.8,3.3,6
34,2234,high school," $41,676 ",4,3.4,9
27,1809,some college," $52,098 ",3.3,3,9
35,2278,associate's degree," $103,101 ",4,3.9,4
31,2162,some college," $92,781 ",4,3.7,4
27,1979,some high school," $69,626 ",3.7,3.5,4
28,1987,some high school," $68,928 ",3.7,3.4,6
34,2308,master's degree," $108,832 ",4,3.9,4
29,2026,associate's degree," $101,966 ",3.7,3.5,5
32,2186,some college," $54,361 ",4,3.5,4
29,2118,some high school," $32,963 ",3.9,3.1,7
33,2110,high school," $70,819 ",4,3.8,3
32,2037,high school," $84,231 ",3.9,3.5,6
29,2034,associate's degree," $58,720 ",4,3.6,5
26,1883,associate's degree," $57,927 ",3.5,3.4,4
26,1830,high school," $33,668 ",3.5,3.5,4
29,2080,master's degree," $89,541 ",4,3.7,3
29,2021,some high school," $33,392 ",3.8,3.5,4
28,2136,bachelor's degree," $80,213 ",4,3.4,4
25,1831,bachelor's degree," $74,145 ",3.4,3.2,4
26,1975,some high school," $37,441 ",3.5,2.9,6
35,2265,associate's degree," $79,530 ",4,3.7,7
26,1963,master's degree," $89,885 ",3.5,3.2,4
32,2251,bachelor's degree," $90,652 ",4,3.8,5
28,1928,high school," $79,511 ",3.7,3.7,3
24,1801,some college," $84,588 ",3.3,3.2,4
30,2033,bachelor's degree," $78,168 ",3.8,3.5,5
32,2134,master's degree," $101,832 ",4,3.6,4
29,1984,some high school," $54,859 ",3.8,3.6,5
23,1750,some high school," $45,059 ",3.1,2.9,6
27,1909,some college," $50,764 ",3.5,3.2,6
29,1985,associate's degree," $83,925 ",3.6,3.5,6
29,2086,bachelor's degree," $82,881 ",4,3.2,5
27,1896,some college," $71,634 ",3.5,3.2,4
34,2358,associate's degree," $83,577 ",4,3.6,4
28,2097,master's degree," $124,470 ",3.9,3.6,7
28,1988,some college," $57,703 ",3.8,3.3,4
28,2078,some college," $91,873 ",3.9,3.5,5
27,1884,some high school," $22,932 ",3.6,3,5
25,1892,bachelor's degree," $72,725 ",3.4,3.3,4
27,1973,some college," $82,813 ",3.5,3.3,4
28,2064,some college," $70,783 ",3.8,3.5,4
27,1882,associate's degree," $67,599 ",3.5,3.3,4
30,2055,some college," $84,318 ",4,3.5,4
34,2142,some high school," $32,371 ",4,3.5,5
27,1950,high school," $89,155 ",3.5,3.2,7
30,2204,some college," $85,745 ",4,3.4,6
29,2056,some high school," $45,521 ",3.8,3.2,5
27,1873,some college," $86,540 ",3.5,3.3,5
26,1919,some high school," $63,216 ",3.5,3.5,4
33,2198,bachelor's degree," $107,353 ",4,3.6,5
27,1989,bachelor's degree," $71,910 ",3.8,3.5,3
26,1882,some high school," $55,525 ",3.4,3.1,5
32,2090,bachelor's degree," $94,402 ",4,3.7,3
27,1895,high school," $56,359 ",3.6,3.3,4
25,1708,some college," $47,134 ",3.2,3,5
28,1933,high school," $44,433 ",3.7,3.1,8
31,2178,high school," $63,953 ",4,3.6,4
23,1772,some college," $62,215 ",3.2,3.3,3
28,1976,high school," $44,273 ",3.7,3.4,5
30,2046,high school," $61,291 ",3.8,3.5,4
29,1972,some high school," $57,891 ",3.8,3.4,4
30,2014,associate's degree," $57,454 ",4,3.1,6
31,2180,bachelor's degree," $54,502 ",4,3.3,4
34,2342,bachelor's degree," $98,469 ",4,3.3,5
35,2290,bachelor's degree," $70,541 ",4,3.9,6
24,1715,associate's degree," $82,959 ",3,3.1,5
29,1952,some college," $70,871 ",3.7,3.5,4
31,2106,high school," $57,191 ",4,3,7
29,2018,some high school," $52,651 ",3.9,3.4,6
25,1856,some college," $76,085 ",3.5,3.6,3
29,2101,associate's degree," $39,594 ",3.9,3.5,4
31,2152,associate's degree," $88,339 ",4,3.4,7
33,2217,some college," $79,005 ",4,3.5,4
32,2077,high school," $62,571 ",4,3.2,5
30,2138,some college," $78,231 ",4,3.5,4
31,2138,bachelor's degree," $69,281 ",4,3.2,5
27,1875,some high school," $39,808 ",3.5,3.3,5
29,1967,associate's degree," $76,076 ",3.8,3.6,6
28,1945,high school," $59,708 ",3.4,3.6,5
29,2124,some college," $92,570 ",4,3.5,6
27,1800,high school," $55,685 ",3.4,3,5
29,1956,bachelor's degree," $84,773 ",3.7,3.3,7
29,2059,bachelor's degree," $66,884 ",3.9,3.3,5
29,2114,bachelor's degree," $100,011 ",4,3.7,7
28,1855,some high school," $30,246 ",3.5,3.2,5
25,1864,some college," $68,990 ",3.2,3,6
30,2099,some high school," $44,058 ",4,3.2,8
32,2204,some college," $61,511 ",4,3.2,5
32,2266,some college," $55,909 ",4,3.4,4
28,1935,high school," $76,499 ",3.6,3.2,5
24,1685,some high school," $42,246 ",3.1,3,6
30,2102,some high school," $38,675 ",3.9,3.4,5
32,2180,bachelor's degree," $72,370 ",4,3.7,4
28,1934,some high school," $64,746 ",3.7,3,5
27,1923,high school," $44,380 ",3.6,3.5,5
28,2103,master's degree," $95,091 ",4,3.7,4
28,2013,high school," $54,189 ",3.7,3.3,4
29,2113,some college," $72,302 ",4,3.5,8
25,1934,associate's degree," $55,311 ",3.4,3.5,3
32,2222,associate's degree," $62,214 ",4,3.4,4
29,2044,associate's degree," $79,376 ",3.8,3.6,8
27,1974,bachelor's degree," $70,771 ",3.5,3,6
31,2070,bachelor's degree," $94,779 ",4,3.5,4
25,1806,some college," $76,153 ",3.4,3.2,4
26,1771,high school," $57,030 ",3.3,3.2,4
27,1960,high school," $47,355 ",3.7,3.3,5
29,2111,associate's degree," $58,606 ",4,3.4,5
28,1981,high school," $68,553 ",3.7,3.4,5
29,2063,some high school," $78,554 ",3.7,3.8,3
25,1937,some high school," $47,676 ",3.6,3.3,5
28,1989,some high school," $79,527 ",3.6,3.3,4
27,1957,associate's degree," $65,536 ",3.7,3.4,4
30,1992,some high school," $66,121 ",3.8,3.2,7
29,1938,associate's degree," $76,536 ",3.7,3.2,8
31,2146,high school," $73,118 ",4,3.3,7
26,1871,some college," $47,948 ",3.4,3.2,5
32,2132,some college," $47,343 ",4,3.6,5
27,1947,high school," $50,013 ",3.6,3.3,5
31,2072,high school," $51,642 ",3.9,3.5,4
28,2012,some college," $66,896 ",3.7,3.6,3
32,2083,bachelor's degree," $89,517 ",4,3.8,4
22,1598,some college," $73,060 ",2.8,3,5
29,2018,associate's degree," $67,213 ",3.7,3.3,4
30,2060,associate's degree," $101,694 ",3.8,3.8,3
32,2099,some high school," $68,197 ",4,3.4,6
29,2016,some high school," $36,428 ",3.8,3.2,5
29,2095,associate's degree," $94,662 ",4,3.9,6
29,2056,associate's degree," $79,834 ",3.9,3.4,4
27,1970,associate's degree," $70,870 ",3.5,3.3,6
35,2226,high school," $81,528 ",4,3.6,4
29,2041,associate's degree," $99,695 ",3.9,3.6,6
27,1868,some college," $56,722 ",3.5,3.3,4
29,2014,some college," $56,964 ",3.9,2.9,9
24,1888,bachelor's degree," $66,372 ",3.4,3.3,4
24,1733,associate's degree," $47,323 ",3.2,2.9,6
28,1956,associate's degree," $62,151 ",3.6,3.4,4
30,2056,high school," $72,235 ",3.9,3.4,5
32,2136,some college," $58,269 ",4,3.7,3
28,1849,high school," $49,161 ",3.4,3.5,5
32,2170,bachelor's degree," $92,676 ",4,3.6,4
28,1899,high school," $60,887 ",3.6,3.4,8
30,2098,associate's degree," $53,931 ",4,3.3,5
24,1748,some college," $89,555 ",3.2,3.4,4
30,2146,bachelor's degree," $102,741 ",4,3.5,4
30,2087,some college," $51,943 ",4,3.3,4
27,2048,master's degree," $89,723 ",3.8,3.3,4
28,1938,high school," $56,564 ",3.5,3.2,8
27,1978,some college," $74,675 ",3.6,3.4,4
30,2235,bachelor's degree," $75,686 ",4,3.5,4
26,1917,some college," $48,630 ",3.5,3.3,5
31,2086,associate's degree," $79,405 ",4,3.8,3
27,1894,some college," $72,324 ",3.6,3.6,3
26,1969,some high school," $57,007 ",3.6,3.2,5
26,1872,high school," $30,384 ",3.4,2.9,6
28,1914,high school," $44,890 ",3.5,3.3,6
26,2004,bachelor's degree," $83,394 ",3.7,3.3,4
28,2003,bachelor's degree," $64,362 ",3.6,3.5,7
27,1896,some high school," $55,887 ",3.6,3.1,7
28,1897,high school," $55,399 ",3.5,3.2,4
30,1985,some college," $81,840 ",3.8,3.5,4
27,1916,some college," $67,994 ",3.5,3.3,4
32,2328,bachelor's degree," $59,035 ",4,3.3,5
26,1750,some high school," $45,142 ",3.2,3.4,4
30,2018,some high school," $58,297 ",3.9,3.3,7
29,2013,high school," $91,228 ",3.7,3.4,4
32,2075,associate's degree," $61,446 ",4,3.4,8
25,1891,some college," $71,120 ",3.4,3.2,4
30,2014,some college," $45,340 ",3.9,3,6
28,1938,some high school," $19,452 ",3.7,2.9,6
30,2154,high school," $59,045 ",4,3.6,4
32,2111,high school," $82,362 ",4,3.8,3
31,2161,associate's degree," $92,230 ",4,3.8,3
29,2104,some college," $81,195 ",4,3.5,4
29,2042,master's degree," $102,364 ",3.9,3.2,7
25,1854,high school," $37,021 ",3.3,2.8,9
34,2250,master's degree," $86,656 ",4,3.2,5
28,1888,high school," $48,701 ",3.7,3.2,5
27,1931,some college," $46,610 ",3.7,3.1,6
30,2081,associate's degree," $71,530 ",3.9,3.6,3
31,2016,associate's degree," $74,128 ",3.9,3.3,5
29,2018,some college," $48,783 ",3.9,3.4,7
36,2358,master's degree," $94,092 ",4,3.7,7
31,2171,some college," $57,107 ",4,3.5,4
28,2055,associate's degree," $75,310 ",3.8,3.7,5
27,1943,some college," $77,835 ",3.7,3.2,9
24,1791,master's degree," $101,397 ",3.2,3.3,4
28,1925,some high school," $49,750 ",3.6,3.3,8
21,1628,some high school," $36,769 ",2.8,3.1,6
28,2024,bachelor's degree," $80,024 ",4,3.3,6
27,1934,some high school," $71,045 ",3.4,3.4,5
26,1855,associate's degree," $76,883 ",3.5,3.5,8
25,1880,some high school," $27,165 ",3.3,3.1,5
27,1797,some high school," $55,458 ",3.3,3.2,4
33,2222,bachelor's degree," $95,449 ",4,3.6,4
31,2053,bachelor's degree," $102,696 ",4,3.6,8
26,1797,some high school," $55,366 ",3.4,3.3,4
32,2171,associate's degree," $76,111 ",4,3.4,5
26,1888,some high school," $42,848 ",3.5,3.3,5
34,2185,high school," $101,013 ",4,3.6,6
26,2007,some high school," $36,811 ",3.7,3.3,8
32,2165,bachelor's degree," $74,655 ",4,3.2,5
31,2135,associate's degree," $79,017 ",4,3.6,4
31,2024,some college," $84,826 ",4,3.7,7
35,2273,master's degree," $93,051 ",4,3.8,5
27,2016,associate's degree," $74,430 ",3.9,3.5,5
28,1980,some college," $59,923 ",3.8,2.9,7
