Track Name,Album Name,Album Release Date,Track Duration,Track Popularity,Track Streams
Redemption,Black Panther The Album Music From And Inspired By,09-02-18,222093,,
Seasons,Black Panther The Album Music From And Inspired By,09-02-18,242293,,
Big Shot,Black Panther The Album Music From And Inspired By,09-02-18,221826,,
Pray For Me,Black Panther The Album Music From And Inspired By,09-02-18,211440,,
Black Panther,Black Panther The Album Music From And Inspired By,08-02-18,130613,,
All The Stars (with SZA),Black Panther The Album Music From And Inspired By,08-02-18,232186,,
X (with 2 Chainz & Saudi),Black Panther The Album Music From And Inspired By,08-02-18,267426,,
The Ways (with Swae Lee),Black Panther The Album Music From And Inspired By,08-02-18,238893,,
Opps (with Yugen Blakrok),Black Panther The Album Music From And Inspired By,08-02-18,180893,,
I Am,Black Panther The Album Music From And Inspired By,08-02-18,208760,,
Paramedic!,Black Panther The Album Music From And Inspired By,08-02-18,219306,,
Bloody Waters (with Anderson .Paak & James Blake),Black Panther The Album Music From And Inspired By,08-02-18,272306,,
"King's Dead (with Kendrick Lamar, Future & James Blake)",Black Panther The Album Music From And Inspired By,08-02-18,225266,,
Redemption Interlude,Black Panther The Album Music From And Inspired By,08-02-18,85266,,
Redemption (with Babes Wodumo),Black Panther The Album Music From And Inspired By,08-02-18,222093,,
Seasons (with Sjava & Reason),Black Panther The Album Music From And Inspired By,08-02-18,242293,,
Big Shot (with Travis Scott),Black Panther The Album Music From And Inspired By,08-02-18,221826,,
Pray For Me (with Kendrick Lamar),Black Panther The Album Music From And Inspired By,08-02-18,211440,,
DUCKWORTH.,DAMN. COLLECTORS EDITION.,08-12-17,248613,,
GOD.,DAMN. COLLECTORS EDITION.,08-12-17,248826,,
FEAR.,DAMN. COLLECTORS EDITION.,08-12-17,460573,,
XXX. FEAT. U2.,DAMN. COLLECTORS EDITION.,08-12-17,254200,,
LOVE. FEAT. ZACARI.,DAMN. COLLECTORS EDITION.,08-12-17,213400,,
LUST.,DAMN. COLLECTORS EDITION.,08-12-17,307880,,
HUMBLE.,DAMN. COLLECTORS EDITION.,08-12-17,177000,,
PRIDE.,DAMN. COLLECTORS EDITION.,08-12-17,275253,,
LOYALTY. FEAT. RIHANNA.,DAMN. COLLECTORS EDITION.,08-12-17,227360,,
FEEL.,DAMN. COLLECTORS EDITION.,08-12-17,214826,,
ELEMENT.,DAMN. COLLECTORS EDITION.,08-12-17,208733,,
YAH.,DAMN. COLLECTORS EDITION.,08-12-17,160293,,
DNA.,DAMN. COLLECTORS EDITION.,08-12-17,185946,,
BLOOD.,DAMN. COLLECTORS EDITION.,08-12-17,118066,,
DUCKWORTH.,DAMN. COLLECTORS EDITION.,08-12-17,248613,,
GOD.,DAMN. COLLECTORS EDITION.,08-12-17,248826,,
FEAR.,DAMN. COLLECTORS EDITION.,08-12-17,460573,,
XXX.,DAMN. COLLECTORS EDITION.,08-12-17,254200,,
LOVE.,DAMN. COLLECTORS EDITION.,08-12-17,213400,,
LUST.,DAMN. COLLECTORS EDITION.,08-12-17,307880,,
HUMBLE.,DAMN. COLLECTORS EDITION.,08-12-17,177000,,
PRIDE.,DAMN. COLLECTORS EDITION.,08-12-17,275253,,
LOYALTY.,DAMN. COLLECTORS EDITION.,08-12-17,227360,,
FEEL.,DAMN. COLLECTORS EDITION.,08-12-17,214826,,
ELEMENT.,DAMN. COLLECTORS EDITION.,08-12-17,208733,,
YAH.,DAMN. COLLECTORS EDITION.,08-12-17,160293,,
DNA.,DAMN. COLLECTORS EDITION.,08-12-17,185946,,
BLOOD.,DAMN. COLLECTORS EDITION.,08-12-17,118066,,
DUCKWORTH.,DAMN. COLLECTORS EDITION.,08-12-17,248613,,
GOD.,DAMN. COLLECTORS EDITION.,08-12-17,248826,,
FEAR.,DAMN. COLLECTORS EDITION.,08-12-17,460573,,
XXX. FEAT. U2,DAMN. COLLECTORS EDITION.,08-12-17,254200,,
LOVE. FEAT. ZACARI.,DAMN. COLLECTORS EDITION.,08-12-17,213400,,
LUST.,DAMN. COLLECTORS EDITION.,08-12-17,307880,,
HUMBLE.,DAMN. COLLECTORS EDITION.,08-12-17,177000,,
PRIDE.,DAMN. COLLECTORS EDITION.,08-12-17,275253,,
LOYALTY. FEAT. RIHANNA.,DAMN. COLLECTORS EDITION.,08-12-17,227360,,
FEEL.,DAMN. COLLECTORS EDITION.,08-12-17,214826,,
ELEMENT.,DAMN. COLLECTORS EDITION.,08-12-17,208733,,
YAH.,DAMN. COLLECTORS EDITION.,08-12-17,160293,,
DNA.,DAMN. COLLECTORS EDITION.,08-12-17,185946,,
BLOOD.,DAMN. COLLECTORS EDITION.,08-12-17,118066,,
BLOOD.,DAMN.,14-04-17,118066,,
DNA.,DAMN.,14-04-17,185946,,
YAH.,DAMN.,14-04-17,160293,,
ELEMENT.,DAMN.,14-04-17,208733,,
FEEL.,DAMN.,14-04-17,214826,,
LOYALTY. FEAT. RIHANNA.,DAMN.,14-04-17,227360,,
PRIDE.,DAMN.,14-04-17,275253,,
HUMBLE.,DAMN.,14-04-17,177000,,
LUST.,DAMN.,14-04-17,307880,,
LOVE. FEAT. ZACARI.,DAMN.,14-04-17,213400,,
XXX. FEAT. U2.,DAMN.,14-04-17,254200,,
FEAR.,DAMN.,14-04-17,460573,,
GOD.,DAMN.,14-04-17,248826,,
DUCKWORTH.,DAMN.,14-04-17,248613,,
BLOOD.,DAMN.,14-04-17,118066,,
DNA.,DAMN.,14-04-17,185946,,
YAH.,DAMN.,14-04-17,160293,,
ELEMENT.,DAMN.,14-04-17,208733,,
FEEL.,DAMN.,14-04-17,214826,,
LOYALTY.,DAMN.,14-04-17,227360,,
PRIDE.,DAMN.,14-04-17,275253,,
HUMBLE.,DAMN.,14-04-17,177000,,
LUST.,DAMN.,14-04-17,307880,,
LOVE.,DAMN.,14-04-17,213400,,
XXX.,DAMN.,14-04-17,254200,,
FEAR.,DAMN.,14-04-17,460573,,
GOD.,DAMN.,14-04-17,248826,,
DUCKWORTH.,DAMN.,14-04-17,248613,,
BLOOD.,DAMN.,13-04-17,118066,,
DNA.,DAMN.,13-04-17,185946,,
YAH.,DAMN.,13-04-17,160293,,
ELEMENT.,DAMN.,13-04-17,208733,,
FEEL.,DAMN.,13-04-17,214826,,
LOYALTY. FEAT. RIHANNA.,DAMN.,13-04-17,227360,,
PRIDE.,DAMN.,13-04-17,275253,,
HUMBLE.,DAMN.,13-04-17,177000,,
LUST.,DAMN.,13-04-17,307880,,
LOVE. FEAT. ZACARI.,DAMN.,13-04-17,213400,,
XXX. FEAT. U2.,DAMN.,13-04-17,254200,,
FEAR.,DAMN.,13-04-17,460573,,
GOD.,DAMN.,13-04-17,248826,,
DUCKWORTH.,DAMN.,13-04-17,248613,,
untitled 01 | 08.19.2014.,untitled unmastered.,04-03-16,247746,,
untitled 02 | 06.23.2014.,untitled unmastered.,04-03-16,258826,,
untitled 03 | 05.28.2013.,untitled unmastered.,04-03-16,154346,,
untitled 04 | 08.14.2014.,untitled unmastered.,04-03-16,110066,,
untitled 05 | 09.21.2014.,untitled unmastered.,04-03-16,338426,,
untitled 06 | 06.30.2014.,untitled unmastered.,04-03-16,208013,,
untitled 07 | 2014 - 2016,untitled unmastered.,04-03-16,496173,,
untitled 08 | 09.06.2014.,untitled unmastered.,04-03-16,235506,,
untitled 01 | 08.19.2014.,untitled unmastered.,04-03-16,247746,,
untitled 02 | 06.23.2014.,untitled unmastered.,04-03-16,258825,,
untitled 03 | 05.28.2013.,untitled unmastered.,04-03-16,154333,,
untitled 04 | 08.14.2014.,untitled unmastered.,04-03-16,110573,,
untitled 05 | 09.21.2014.,untitled unmastered.,04-03-16,338426,,
untitled 06 | 06.30.2014.,untitled unmastered.,04-03-16,208013,,
untitled 07 | 2014 - 2016,untitled unmastered.,04-03-16,496173,,
untitled 08 | 09.06.2014.,untitled unmastered.,04-03-16,235506,,
Wesley's Theory,To Pimp A Butterfly,16-03-15,287360,,
For Free? - Interlude,To Pimp A Butterfly,16-03-15,130893,,
King Kunta,To Pimp A Butterfly,16-03-15,234693,,
Institutionalized,To Pimp A Butterfly,16-03-15,271773,,
These Walls,To Pimp A Butterfly,16-03-15,300973,,
u,To Pimp A Butterfly,16-03-15,268493,,
Alright,To Pimp A Butterfly,16-03-15,219333,,
For Sale? - Interlude,To Pimp A Butterfly,16-03-15,291720,,
Momma,To Pimp A Butterfly,16-03-15,283120,,
Hood Politics,To Pimp A Butterfly,16-03-15,292520,,
How Much A Dollar Cost,To Pimp A Butterfly,16-03-15,261746,,
Complexion (A Zulu Love),To Pimp A Butterfly,16-03-15,263360,,
The Blacker The Berry,To Pimp A Butterfly,16-03-15,328826,,
You Ain't Gotta Lie (Momma Said),To Pimp A Butterfly,16-03-15,241680,,
i,To Pimp A Butterfly,16-03-15,336013,,
Mortal Man,To Pimp A Butterfly,16-03-15,727106,,
Wesley's Theory,To Pimp A Butterfly,16-03-15,287360,,
For Free? - Interlude,To Pimp A Butterfly,16-03-15,130893,,
King Kunta,To Pimp A Butterfly,16-03-15,234693,,
Institutionalized,To Pimp A Butterfly,16-03-15,271773,,
These Walls,To Pimp A Butterfly,16-03-15,300973,,
u,To Pimp A Butterfly,16-03-15,268493,,
Alright,To Pimp A Butterfly,16-03-15,219333,,
For Sale? - Interlude,To Pimp A Butterfly,16-03-15,291720,,
Momma,To Pimp A Butterfly,16-03-15,283120,,
Hood Politics,To Pimp A Butterfly,16-03-15,292520,,
How Much A Dollar Cost,To Pimp A Butterfly,16-03-15,261746,,
Complexion (A Zulu Love),To Pimp A Butterfly,16-03-15,263360,,
The Blacker The Berry,To Pimp A Butterfly,16-03-15,328826,,
You Ain't Gotta Lie (Momma Said),To Pimp A Butterfly,16-03-15,241680,,
i,To Pimp A Butterfly,16-03-15,336013,,
Mortal Man,To Pimp A Butterfly,16-03-15,727106,,
Wesley's Theory,To Pimp A Butterfly,16-03-15,287360,,
For Free? - Interlude,To Pimp A Butterfly,16-03-15,130893,,
King Kunta,To Pimp A Butterfly,16-03-15,234693,,
Institutionalized,To Pimp A Butterfly,16-03-15,271773,,
These Walls,To Pimp A Butterfly,16-03-15,300973,,
u,To Pimp A Butterfly,16-03-15,268493,,
Alright,To Pimp A Butterfly,16-03-15,219333,,
For Sale? - Interlude,To Pimp A Butterfly,16-03-15,291720,,
Momma,To Pimp A Butterfly,16-03-15,283120,,
Hood Politics,To Pimp A Butterfly,16-03-15,292520,,
How Much A Dollar Cost,To Pimp A Butterfly,16-03-15,261746,,
Complexion (A Zulu Love),To Pimp A Butterfly,16-03-15,263360,,
The Blacker The Berry,To Pimp A Butterfly,16-03-15,328826,,
You Ain't Gotta Lie (Momma Said),To Pimp A Butterfly,16-03-15,241680,,
i,To Pimp A Butterfly,16-03-15,336013,,
Mortal Man,To Pimp A Butterfly,16-03-15,727106,,
Wesley's Theory,To Pimp A Butterfly,16-03-15,287360,,
For Free? - Interlude,To Pimp A Butterfly,16-03-15,130893,,
King Kunta,To Pimp A Butterfly,16-03-15,234693,,
Institutionalized,To Pimp A Butterfly,16-03-15,271773,,
These Walls,To Pimp A Butterfly,16-03-15,300973,,
u,To Pimp A Butterfly,16-03-15,268493,,
Alright,To Pimp A Butterfly,16-03-15,219333,,
For Sale? - Interlude,To Pimp A Butterfly,16-03-15,291720,,
Momma,To Pimp A Butterfly,16-03-15,283120,,
Hood Politics,To Pimp A Butterfly,16-03-15,292520,,
How Much A Dollar Cost,To Pimp A Butterfly,16-03-15,261746,,
Complexion (A Zulu Love),To Pimp A Butterfly,16-03-15,263360,,
The Blacker The Berry,To Pimp A Butterfly,16-03-15,328826,,
You Ain't Gotta Lie (Momma Said),To Pimp A Butterfly,16-03-15,241680,,
i,To Pimp A Butterfly,16-03-15,336013,,
Mortal Man,To Pimp A Butterfly,16-03-15,727106,,
Sherane a.k.a Master Splinter’s Daughter,"good kid, m.A.A.d city (Deluxe)",01-01-13,273640,,
"Bitch, Don’t Kill My Vibe","good kid, m.A.A.d city (Deluxe)",01-01-13,310720,,
Backseat Freestyle,"good kid, m.A.A.d city (Deluxe)",01-01-13,212653,,
The Art of Peer Pressure,"good kid, m.A.A.d city (Deluxe)",01-01-13,324533,,
Money Trees,"good kid, m.A.A.d city (Deluxe)",01-01-13,386906,,
Poetic Justice,"good kid, m.A.A.d city (Deluxe)",01-01-13,300160,,
good kid,"good kid, m.A.A.d city (Deluxe)",01-01-13,214120,,
m.A.A.d city,"good kid, m.A.A.d city (Deluxe)",01-01-13,350120,,
Swimming Pools (Drank) - Extended Version,"good kid, m.A.A.d city (Deluxe)",01-01-13,313786,,
"Sing About Me, I'm Dying Of Thirst","good kid, m.A.A.d city (Deluxe)",01-01-13,723573,,
Real,"good kid, m.A.A.d city (Deluxe)",01-01-13,443413,,
Compton,"good kid, m.A.A.d city (Deluxe)",01-01-13,248093,,
The Recipe - Bonus Track,"good kid, m.A.A.d city (Deluxe)",01-01-13,352853,,
Black Boy Fly - Bonus Track,"good kid, m.A.A.d city (Deluxe)",01-01-13,279146,,
Now Or Never - Bonus Track,"good kid, m.A.A.d city (Deluxe)",01-01-13,256213,,
"Bitch, Don’t Kill My Vibe - Remix","good kid, m.A.A.d city (Deluxe)",01-01-13,278573,,
Sherane a.k.a Master Splinter’s Daughter,"good kid, m.A.A.d city",01-01-13,273640,,
"Bitch, Don’t Kill My Vibe","good kid, m.A.A.d city",01-01-13,310720,,
Backseat Freestyle,"good kid, m.A.A.d city",01-01-13,212653,,
The Art of Peer Pressure,"good kid, m.A.A.d city",01-01-13,324533,,
Money Trees,"good kid, m.A.A.d city",01-01-13,386906,,
Poetic Justice,"good kid, m.A.A.d city",01-01-13,300160,,
good kid,"good kid, m.A.A.d city",01-01-13,214120,,
m.A.A.d city,"good kid, m.A.A.d city",01-01-13,350120,,
Swimming Pools (Drank) - Extended Version,"good kid, m.A.A.d city",01-01-13,313786,,
"Sing About Me, I'm Dying Of Thirst","good kid, m.A.A.d city",01-01-13,723573,,
Real,"good kid, m.A.A.d city",01-01-13,443413,,
Compton,"good kid, m.A.A.d city",01-01-13,248093,,
"Bitch, Don’t Kill My Vibe - Remix","good kid, m.A.A.d city",01-01-13,278520,,
Sherane a.k.a Master Splinter’s Daughter,"good kid, m.A.A.d city",01-01-13,273480,,
"Bitch, Don’t Kill My Vibe","good kid, m.A.A.d city",01-01-13,310720,,
Backseat Freestyle,"good kid, m.A.A.d city",01-01-13,212693,,
The Art of Peer Pressure,"good kid, m.A.A.d city",01-01-13,324613,,
Money Trees,"good kid, m.A.A.d city",01-01-13,386906,,
Poetic Justice,"good kid, m.A.A.d city",01-01-13,300160,,
good kid,"good kid, m.A.A.d city",01-01-13,214120,,
m.A.A.d city,"good kid, m.A.A.d city",01-01-13,350120,,
Swimming Pools (Drank) - Extended Version,"good kid, m.A.A.d city",01-01-13,313786,,
"Sing About Me, I'm Dying Of Thirst","good kid, m.A.A.d city",01-01-13,723573,,
Real,"good kid, m.A.A.d city",01-01-13,443226,,
Compton,"good kid, m.A.A.d city",01-01-13,248333,,
"Bitch, Don’t Kill My Vibe - Remix","good kid, m.A.A.d city",01-01-13,278920,,
Sherane a.k.a Master Splinter’s Daughter,"good kid, m.A.A.d city (Deluxe)",22-10-12,273640,,
"Bitch, Don’t Kill My Vibe","good kid, m.A.A.d city (Deluxe)",22-10-12,310720,,
Backseat Freestyle,"good kid, m.A.A.d city (Deluxe)",22-10-12,212653,,
The Art of Peer Pressure,"good kid, m.A.A.d city (Deluxe)",22-10-12,324533,,
Money Trees,"good kid, m.A.A.d city (Deluxe)",22-10-12,386906,,
Poetic Justice,"good kid, m.A.A.d city (Deluxe)",22-10-12,300160,,
good kid,"good kid, m.A.A.d city (Deluxe)",22-10-12,214120,,
m.A.A.d city,"good kid, m.A.A.d city (Deluxe)",22-10-12,350120,,
Swimming Pools (Drank) - Extended Version,"good kid, m.A.A.d city (Deluxe)",22-10-12,313786,,
"Sing About Me, I'm Dying Of Thirst","good kid, m.A.A.d city (Deluxe)",22-10-12,723573,,
Real,"good kid, m.A.A.d city (Deluxe)",22-10-12,443413,,
Compton,"good kid, m.A.A.d city (Deluxe)",22-10-12,248093,,
The Recipe - Bonus Track,"good kid, m.A.A.d city (Deluxe)",22-10-12,352853,,
Black Boy Fly - Bonus Track,"good kid, m.A.A.d city (Deluxe)",22-10-12,279146,,
Now Or Never - Bonus Track,"good kid, m.A.A.d city (Deluxe)",22-10-12,256213,,
"Bitch, Don’t Kill My Vibe - Remix","good kid, m.A.A.d city (Deluxe)",22-10-12,278586,,
"Bitch, Don’t Kill My Vibe - International Remix / Explicit Version","good kid, m.A.A.d city (Deluxe)",22-10-12,305813,,
Sherane a.k.a Master Splinter’s Daughter,"good kid, m.A.A.d city (Deluxe)",01-01-12,273640,,
"Bitch, Don’t Kill My Vibe","good kid, m.A.A.d city (Deluxe)",01-01-12,310720,,
Backseat Freestyle,"good kid, m.A.A.d city (Deluxe)",01-01-12,212653,,
The Art of Peer Pressure,"good kid, m.A.A.d city (Deluxe)",01-01-12,324533,,
Money Trees,"good kid, m.A.A.d city (Deluxe)",01-01-12,386906,,
Poetic Justice,"good kid, m.A.A.d city (Deluxe)",01-01-12,300160,,
good kid,"good kid, m.A.A.d city (Deluxe)",01-01-12,214120,,
m.A.A.d city,"good kid, m.A.A.d city (Deluxe)",01-01-12,350120,,
Swimming Pools (Drank) - Extended Version,"good kid, m.A.A.d city (Deluxe)",01-01-12,313786,,
"Sing About Me, I'm Dying Of Thirst","good kid, m.A.A.d city (Deluxe)",01-01-12,723573,,
Real,"good kid, m.A.A.d city (Deluxe)",01-01-12,443413,,
Compton,"good kid, m.A.A.d city (Deluxe)",01-01-12,248093,,
The Recipe - Bonus Track,"good kid, m.A.A.d city (Deluxe)",01-01-12,352853,,
Black Boy Fly - Bonus Track,"good kid, m.A.A.d city (Deluxe)",01-01-12,279146,,
Now Or Never - Bonus Track,"good kid, m.A.A.d city (Deluxe)",01-01-12,256013,,
The Recipe (Black Hippy Remix) - Bonus Track,"good kid, m.A.A.d city (Deluxe)",01-01-12,262920,,
Sherane a.k.a Master Splinter’s Daughter,"good kid, m.A.A.d city (Deluxe)",01-01-12,273640,,
"Bitch, Don’t Kill My Vibe","good kid, m.A.A.d city (Deluxe)",01-01-12,310720,,
Backseat Freestyle,"good kid, m.A.A.d city (Deluxe)",01-01-12,212653,,
The Art of Peer Pressure,"good kid, m.A.A.d city (Deluxe)",01-01-12,324533,,
Money Trees,"good kid, m.A.A.d city (Deluxe)",01-01-12,386906,,
Poetic Justice,"good kid, m.A.A.d city (Deluxe)",01-01-12,300160,,
good kid,"good kid, m.A.A.d city (Deluxe)",01-01-12,214120,,
m.A.A.d city,"good kid, m.A.A.d city (Deluxe)",01-01-12,350120,,
Swimming Pools (Drank) - Extended Version,"good kid, m.A.A.d city (Deluxe)",01-01-12,313786,,
"Sing About Me, I'm Dying Of Thirst","good kid, m.A.A.d city (Deluxe)",01-01-12,723573,,
Real,"good kid, m.A.A.d city (Deluxe)",01-01-12,443413,,
Compton,"good kid, m.A.A.d city (Deluxe)",01-01-12,248093,,
The Recipe - Bonus Track,"good kid, m.A.A.d city (Deluxe)",01-01-12,352853,,
Black Boy Fly - Bonus Track,"good kid, m.A.A.d city (Deluxe)",01-01-12,279146,,
Now Or Never - Bonus Track,"good kid, m.A.A.d city (Deluxe)",01-01-12,256093,,
Sherane a.k.a Master Splinter’s Daughter,"good kid, m.A.A.d city",01-01-12,273640,,
"Bitch, Don’t Kill My Vibe","good kid, m.A.A.d city",01-01-12,310720,,
Backseat Freestyle,"good kid, m.A.A.d city",01-01-12,212653,,
The Art of Peer Pressure,"good kid, m.A.A.d city",01-01-12,324533,,
Money Trees,"good kid, m.A.A.d city",01-01-12,386906,,
Poetic Justice,"good kid, m.A.A.d city",01-01-12,300160,,
good kid,"good kid, m.A.A.d city",01-01-12,214120,,
m.A.A.d city,"good kid, m.A.A.d city",01-01-12,350120,,
Swimming Pools (Drank) - Extended Version,"good kid, m.A.A.d city",01-01-12,313786,,
"Sing About Me, I'm Dying Of Thirst","good kid, m.A.A.d city",01-01-12,723573,,
Real,"good kid, m.A.A.d city",01-01-12,443413,,
Compton,"good kid, m.A.A.d city",01-01-12,248093,,
Sherane a.k.a Master Splinter’s Daughter,"good kid, m.A.A.d city",01-01-12,273480,,
"Bitch, Don’t Kill My Vibe","good kid, m.A.A.d city",01-01-12,310720,,
Backseat Freestyle,"good kid, m.A.A.d city",01-01-12,212693,,
The Art of Peer Pressure,"good kid, m.A.A.d city",01-01-12,324613,,
Money Trees,"good kid, m.A.A.d city",01-01-12,386906,,
Poetic Justice,"good kid, m.A.A.d city",01-01-12,300160,,
good kid,"good kid, m.A.A.d city",01-01-12,214120,,
m.A.A.d city,"good kid, m.A.A.d city",01-01-12,350120,,
Swimming Pools (Drank) - Extended Version,"good kid, m.A.A.d city",01-01-12,313786,,
"Sing About Me, I'm Dying Of Thirst","good kid, m.A.A.d city",01-01-12,723573,,
Real,"good kid, m.A.A.d city",01-01-12,443226,,
Compton,"good kid, m.A.A.d city",01-01-12,248333,,
Sherane a.k.a Master Splinter’s Daughter,"good kid, m.A.A.d city (Deluxe)",2012,273640,,
"Bitch, Don’t Kill My Vibe","good kid, m.A.A.d city (Deluxe)",2012,310720,,
Backseat Freestyle,"good kid, m.A.A.d city (Deluxe)",2012,212653,,
The Art of Peer Pressure,"good kid, m.A.A.d city (Deluxe)",2012,324533,,
Money Trees,"good kid, m.A.A.d city (Deluxe)",2012,386906,,
Poetic Justice,"good kid, m.A.A.d city (Deluxe)",2012,300160,,
good kid,"good kid, m.A.A.d city (Deluxe)",2012,214120,,
m.A.A.d city,"good kid, m.A.A.d city (Deluxe)",2012,350120,,
Swimming Pools (Drank) - Extended Version,"good kid, m.A.A.d city (Deluxe)",2012,313786,,
"Sing About Me, I'm Dying Of Thirst","good kid, m.A.A.d city (Deluxe)",2012,723573,,
Real,"good kid, m.A.A.d city (Deluxe)",2012,443413,,
Compton,"good kid, m.A.A.d city (Deluxe)",2012,248093,,
The Recipe - Bonus Track,"good kid, m.A.A.d city (Deluxe)",2012,352853,,
Black Boy Fly - Bonus Track,"good kid, m.A.A.d city (Deluxe)",2012,279146,,
Now Or Never - Bonus Track,"good kid, m.A.A.d city (Deluxe)",2012,256013,,
The Recipe (Black Hippy Remix) - Bonus Track,"good kid, m.A.A.d city (Deluxe)",2012,262920,,
"Bitch, Don’t Kill My Vibe - Remix","good kid, m.A.A.d city (Deluxe)",2012,278800,,
Sherane a.k.a Master Splinter’s Daughter,"good kid, m.A.A.d city (Deluxe)",2012,273640,,
"Bitch, Don’t Kill My Vibe","good kid, m.A.A.d city (Deluxe)",2012,310720,,
Backseat Freestyle,"good kid, m.A.A.d city (Deluxe)",2012,212653,,
The Art of Peer Pressure,"good kid, m.A.A.d city (Deluxe)",2012,324533,,
Money Trees,"good kid, m.A.A.d city (Deluxe)",2012,386906,,
Poetic Justice,"good kid, m.A.A.d city (Deluxe)",2012,300160,,
good kid,"good kid, m.A.A.d city (Deluxe)",2012,214120,,
m.A.A.d city,"good kid, m.A.A.d city (Deluxe)",2012,350120,,
