Review,Rating Scale
"In this phone Battery performance  is not good camera also not as aspected.

Wow!! I what a pic
Camera quality improve after update.",4
It is as per my expectations.,5
It was good thanks Amazon,4
Its a fantabolous mobile,5
It's about awesomeness 😬😁😊,4
It's awesome 👍,5
It's awesome for multitasking n the back cameras in the diamond pattern looks just love❤,5
It's better to buy poco x2 this camera has disappointed,4
It's good...,4
It's very good,5
It's very handy to use .. camera is good,5
Just go for it. Super AMOLED screen is too good. Battery back is surprising good. Charges phone fast(1.5hr). Fingers print sensor works smoothly. Camera quality is also decent enough. Trust me the proccessor is not a problem if you're not gamer. It's 8gb ram is enough for daily routine uses and don't make a problem at all. I must say battery backup is surprising.,5
"Kissht
Call me 9953722341",5
Like,3
Look is so good,4
"My order delivery package cell phone not available
Cell phone missing",1
Need to improve many things.,3
Nice,4
Nice,5
Nice,4
Nice,5
Nice and affordable,4
Nice display... wonderful camera clarity.,5
Nice me,5
Nice mobile phone,4
Nice over all,3
Nice phone,5
nice phone,5
Nice phone,5
Nice phone,4
Nice phone,5
"Nice phone , nice style really super
Wonderful phone!",5
Nice phone camera super super fast,4
Nice phone 👌,5
Nice phone.... And very fast..,4
Nice product,4
Nice product,5
Nice product 👍,5
Nice product from vivo,5
Nice service,5
Nice super,5
Nice.but only one simcard and one memory card we can use.If v want to insert dual SIM cant use memory card.All Other features r good.,4
No,5
No,5
No comments,5
No dislike till now,5
Not good,2
Not good waste of 20k,1
"Not upto the level. 3GB Ram works faster than this. Taking too long to open any apps. Pls go for other models.
No refund / return the item.",1
Nothing special,4
Nyc,5
Ok,5
Only battery issue not last as normal use 12 hour,3
"Option in external memory .. worrest option...
Battery Heat in early in charging time.",3
Original camera fant and back music butifull sound calar very good,5
Ossm,5
"Outgoing okey

Voice celerity not clear

Incoming some times not through

Overall not happy",2
Overall good,3
Overall ok,4
Phone back side should be gorilla glass,3
Phone is awesome and full of specifications. Front finger sensor is awesome and look is fabulous. Price is reasonable,5
Premium look with top quality features above all made in India,5
Price does not justify the features. No Dolby Atoms in 20K phone. Could have given Snapdragon 712 at this price. Camera colours are very Saturated. SAmoled when compared with Samsung phones is mediocre. Bought it from market. Vivo could have done lot better for the price they are asking for. Its a OK buy.,3
Processer was waste to week working slow,3
Processors very very bad... camera is good,1
"PRODUCT IS NICE.  I HAVE PURCHASED BLACK COLOUR MOBILE, BUT I HAVE RECEIVED WHITE COLOUR MOBILE",3
Product is nice.. but at this price range I would suggest not to got for this.,3
Product is soo good easy functions and nice phone body colour,5
"Products  is very bad
Never buy vivo phone
Phone is getting  hang and on charging it is heated to much",1
Such a best phone ever.... Camera clarity is best with affordable price....i love this phone.,5
Super,5
Super,5
Super,5
Super  battery  power,5
Super And its really SMART phone,5
Super Nice Phone,5
Superb,5
Superb,4
"Superb camera
Battery backup awesome
Nice perfomance",5
Superb mobile,5
Superb Mobile & Battery & Camera,5
Superb performance especially camera,5
Superb phone,5
"Superb phone,I like mi but heating issue,but first I love vivo,I am use one month this phone,i really happy Vivo",5
Superb Phone...,5
Superb product,5
Superub,4
"System is lagging simultaneously
Performing slow
Multitasking not possible
Good camera and music quality
Video recording not good",3
Thanks,5
"The cell phone is great
The processor could have been better
But the looks of the phone takes it away
So you won't regret after buying it
The cell phone might be a little heavy for some people but it's manageable",5
The mobile is very good in terms of money and its camera quality is excellent. It's proceser is too good.,5
Third class phone. It's total waste of money. Once you buy it Amazon won't even entertain refund or return of the product.,1
This is a better device when compared with to other devices of this price range. The finger print sensor on the screen has  much slower response when compared to the traditional ones on the rear end of a device. The device offers a smooth performance every time. Gaming has been quite good (pubg in optimum settings). Battery capacity is ok when compared with the performance it delivers. Overall agood phone for anyone who doesn't want to play GTA 5 on this phone.,5
"THIS IS A WONDERFUL  DEVICE OF VIVO. I LIKES THE SHAPE AND DESIGN OF CAMERA IT IS WONDERFUL. IT'S DISPLAY IS ALSO BEST. IT'S PROCESSOR  IS GOOD.
IT'S BATTERY IS LONG LASTING. REST OF THE THINGS ARE BETTER.",5
This is my 3rd vivo after V17pro n V17...I must say S1 pro has a unique design and load with some fabulous features...I gift this to my wife n she loved it...delivery was quick before time...,5
This phone option are too good. Compare to other phone set,5
This phone was good but battery was dead too fast among this all are good.,5
Totally liked it. Good,5
"Value for money... Best phone to buy if the budget range is in or about 20k. Great phone, brilliants specificationa, great service by amazon. The phone has a very ricch look. Modern styling and good hand feel. Weight is around 195 gms. Great battery.",5
Veey good,5
"Very bad ...Battery charging is not fast, camera clearity but not so special, average phone is",1
Very good,5
Very good camera quality phone,5
Very good 👍 phone,5
Very good 👍😊,5
Very good Mobile,5
Very good phone,5
Very Good Phone,4
Very good Product,5
Very good satisfied,5
Very high price...........well done MI,1
Very lovely phone,5
Very nice,5
Very nice phn.,5
Very nice phone with all facilities,5
Very nice product,5
Very nice product,5
Very nice thank you,5
Very nice... mobile,5
Very poor,1
Very poor,1
Very poor quality 😢,1
Very slow device,1
Vivo brand top brand,5
Voice problems,4
"Wast for Money
Camera not quality",1
Waste for it's price and quality of the camera,1
Wonderfull mobile,4
Worest mobile ...don't by it friends .I got one month back this mobile .. battery backup 0 only camera good,1
"Worst mobile . Over price .
Camera is very poor . Selfie is not 32mp Only 16mp .
Portrait function not suitable work .
Compare oppo mobile is best one ...
Don't buy these kind of worthless product . And shopper or salesman's are liar .
Address:
Sangeetha mobile ,
Davanagere, Karnataka.",1
Worst product at this price. Rear camera is not good. Processor is outdated. 10K phone have such processor. can't play PUBG smoothly. 1 star given for the design and front camera. only two card slots available. that means if you use one slot for memory card then only one sim card you can use. fell like hell..,1
"Worst product I have ever purchased,too much hanging problem which was not excepted, this phone is very slow,I don't understand how come a phone so slow when it has 8gb RAM, and the processor is alos good. Worthless product from VIVO.",1
"Worst product. Never buy. Slippery  nature, not fiiting proper in hand. Simply Amazon forcing the customer to use it instead of return or replacement. Don't buy online unless u physically see the demo or physical touch of product. Website display is more of graphics.
Worst product features.",1
"Worst product. Never buy. Slippery nature, not fiiting proper in hand. Simply Amazon forcing the customer to use it instead of return or replacement. Don't buy online unless u physically see the demo or physical touch of product. Website display is more of graphics.
Worst product features.",1
Worth for money,4
Worth for money .....,5
Worth it,4
Worth of money,4
Wow,5
Wrong product,1
Wrost mobile from vivo ...don't buy.....Amazon price 19990 market price only 15999 mathura,1
wrost product ever Too bad quality,1
